K,arc_length_strict,arc_length_relaxed,last_prime,first_failure,purity,four_K_minus_1,four_K_minus_1_prime,is_golden,note
412,0,0,N/A,N/A,0.0%,1647,False,False,
413,0,12,N/A,N/A,0.0%,1651,False,False,
414,0,0,N/A,N/A,0.0%,1655,False,False,
415,0,5,N/A,N/A,0.0%,1659,False,False,
416,0,0,N/A,N/A,0.0%,1663,True,False,
417,0,1,N/A,N/A,0.0%,1667,True,False,
418,0,0,N/A,N/A,0.0%,1671,False,False,
419,2,25,421,425,66.7%,1675,False,False,
420,0,0,N/A,N/A,0.0%,1679,False,False,
421,1,3,421,423,50.0%,1683,False,False,
422,0,0,N/A,N/A,0.0%,1687,False,False,
423,0,2,N/A,N/A,0.0%,1691,False,False,
424,0,0,N/A,N/A,0.0%,1695,False,False,
425,0,4,N/A,N/A,0.0%,1699,True,False,
426,0,0,N/A,N/A,0.0%,1703,False,False,
427,0,4,N/A,N/A,0.0%,1707,False,False,
428,0,0,N/A,N/A,0.0%,1711,False,False,
429,0,2,N/A,N/A,0.0%,1715,False,False,
430,0,0,N/A,N/A,0.0%,1719,False,False,
431,2,64,433,437,66.7%,1723,True,False,
432,0,0,N/A,N/A,0.0%,1727,False,False,
433,1,16,433,435,50.0%,1731,False,False,
434,0,0,N/A,N/A,0.0%,1735,False,False,
435,0,0,N/A,N/A,0.0%,1739,False,False,
436,0,0,N/A,N/A,0.0%,1743,False,False,
437,0,36,N/A,N/A,0.0%,1747,True,False,
438,0,0,N/A,N/A,0.0%,1751,False,False,
439,1,1,439,441,50.0%,1755,False,False,
440,0,0,N/A,N/A,0.0%,1759,True,False,
441,0,2,N/A,N/A,0.0%,1763,False,False,
442,0,0,N/A,N/A,0.0%,1767,False,False,
443,1,12,443,445,50.0%,1771,False,False,
444,0,0,N/A,N/A,0.0%,1775,False,False,
445,0,9,N/A,N/A,0.0%,1779,False,False,
446,0,0,N/A,N/A,0.0%,1783,True,False,
447,0,4,N/A,N/A,0.0%,1787,True,False,
448,0,0,N/A,N/A,0.0%,1791,False,False,
449,1,28,449,451,50.0%,1795,False,False,
450,0,0,N/A,N/A,0.0%,1799,False,False,
451,0,8,N/A,N/A,0.0%,1803,False,False,
452,0,0,N/A,N/A,0.0%,1807,False,False,
453,0,0,N/A,N/A,0.0%,1811,True,False,
454,0,0,N/A,N/A,0.0%,1815,False,False,
455,0,3,N/A,N/A,0.0%,1819,False,False,
456,0,0,N/A,N/A,0.0%,1823,True,False,
457,1,6,457,459,50.0%,1827,False,False,
458,0,0,N/A,N/A,0.0%,1831,True,False,
459,0,2,N/A,N/A,0.0%,1835,False,False,
460,0,0,N/A,N/A,0.0%,1839,False,False,
461,3,49,467,473,75.0%,1843,False,False,
462,0,0,N/A,N/A,0.0%,1847,True,False,
463,1,1,463,465,50.0%,1851,False,False,
464,0,0,N/A,N/A,0.0%,1855,False,False,
465,0,1,N/A,N/A,0.0%,1859,False,False,
466,0,0,N/A,N/A,0.0%,1863,False,False,
467,1,119,467,469,50.0%,1867,True,False,
468,0,0,N/A,N/A,0.0%,1871,True,False,
469,0,0,N/A,N/A,0.0%,1875,False,False,
470,0,0,N/A,N/A,0.0%,1879,True,False,
471,0,1,N/A,N/A,0.0%,1883,False,False,
472,0,0,N/A,N/A,0.0%,1887,False,False,
473,0,5,N/A,N/A,0.0%,1891,False,False,
474,0,0,N/A,N/A,0.0%,1895,False,False,
475,0,4,N/A,N/A,0.0%,1899,False,False,
476,0,0,N/A,N/A,0.0%,1903,False,False,
477,0,1,N/A,N/A,0.0%,1907,True,False,
478,0,0,N/A,N/A,0.0%,1911,False,False,
479,1,25,479,481,50.0%,1915,False,False,
480,0,0,N/A,N/A,0.0%,1919,False,False,
481,0,9,N/A,N/A,0.0%,1923,False,False,
482,0,0,N/A,N/A,0.0%,1927,False,False,
483,0,1,N/A,N/A,0.0%,1931,True,False,
484,0,0,N/A,N/A,0.0%,1935,False,False,
485,0,13,N/A,N/A,0.0%,1939,False,False,
486,0,0,N/A,N/A,0.0%,1943,False,False,
487,1,2,487,489,50.0%,1947,False,False,
488,0,0,N/A,N/A,0.0%,1951,True,False,
489,0,2,N/A,N/A,0.0%,1955,False,False,
490,0,0,N/A,N/A,0.0%,1959,False,False,
491,1,34,491,493,50.0%,1963,False,False,
492,0,0,N/A,N/A,0.0%,1967,False,False,
493,0,2,N/A,N/A,0.0%,1971,False,False,
494,0,0,N/A,N/A,0.0%,1975,False,False,
495,0,0,N/A,N/A,0.0%,1979,True,False,
496,0,0,N/A,N/A,0.0%,1983,False,False,
497,0,33,N/A,N/A,0.0%,1987,True,False,
498,0,0,N/A,N/A,0.0%,1991,False,False,
499,1,1,499,501,50.0%,1995,False,False,
500,0,0,N/A,N/A,0.0%,1999,True,False,
501,0,3,N/A,N/A,0.0%,2003,True,False,
502,0,0,N/A,N/A,0.0%,2007,False,False,
503,1,20,503,505,50.0%,2011,True,False,
504,0,0,N/A,N/A,0.0%,2015,False,False,
505,0,0,N/A,N/A,0.0%,2019,False,False,
506,0,0,N/A,N/A,0.0%,2023,False,False,
507,0,1,N/A,N/A,0.0%,2027,True,False,
508,0,0,N/A,N/A,0.0%,2031,False,False,
509,1,2,509,511,50.0%,2035,False,False,
510,0,0,N/A,N/A,0.0%,2039,True,False,
511,0,10,N/A,N/A,0.0%,2043,False,False,
512,0,0,N/A,N/A,0.0%,2047,False,False,
513,0,0,N/A,N/A,0.0%,2051,False,False,
514,0,0,N/A,N/A,0.0%,2055,False,False,
515,0,25,N/A,N/A,0.0%,2059,False,False,
516,0,0,N/A,N/A,0.0%,2063,True,False,
517,0,11,N/A,N/A,0.0%,2067,False,False,
518,0,0,N/A,N/A,0.0%,2071,False,False,
519,0,1,N/A,N/A,0.0%,2075,False,False,
520,0,0,N/A,N/A,0.0%,2079,False,False,
521,2,18,523,527,66.7%,2083,True,False,
522,0,0,N/A,N/A,0.0%,2087,True,False,
523,1,1,523,525,50.0%,2091,False,False,
524,0,0,N/A,N/A,0.0%,2095,False,False,
525,0,0,N/A,N/A,0.0%,2099,True,False,
526,0,0,N/A,N/A,0.0%,2103,False,False,
527,0,8,N/A,N/A,0.0%,2107,False,False,
528,0,0,N/A,N/A,0.0%,2111,True,False,
529,0,7,N/A,N/A,0.0%,2115,False,False,
